show_id,zone,house_type,area_sqft,bedrooms,bathrooms,building_age,road_width_m,distance_to_center_km,has_garden,has_parking,furnished,date_listed,year_listed,price_npr,price_per_sqft,nearest_landmark,description
H00045,Itahari-13,Flat,1100,3,3,27,5.4,7.92,0,1,Unfurnished,2018-05-13,2018,9421664,8565,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00046,Itahari-19,Flat,2129,5,5,4,6.3,5.99,0,1,Semi-Furnished,2017-02-10,2017,24868663,11680,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00047,Itahari-1,Bungalow,2306,7,5,15,3.0,1.61,0,1,Semi-Furnished,2018-11-03,2018,34944850,15153,Bhairahawa Road,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00048,Itahari-13,RCC,2232,6,5,20,6.4,2.14,0,1,Semi-Furnished,2016-03-15,2016,39314944,17614,Itahari Buspark,"Spacious RCC with 6 bedrooms and 5 bathrooms, nearby Itahari Buspark."
H00049,Itahari-15,RCC,875,1,1,13,6.6,4.44,0,1,Unfurnished,2019-09-04,2019,7300122,8342,Shohini Chowk,"Well-connected property in Itahari-15, 875 sqft, 13 years old. Ideal for families."
H00050,Itahari-14,Bungalow,1116,3,2,19,4.2,6.56,0,1,Semi-Furnished,2021-07-14,2021,10331769,9257,Bhairahawa Road,"Spacious Bungalow with 3 bedrooms and 2 bathrooms, nearby Bhairahawa Road."
H00051,Itahari-11,Duplex,467,2,1,10,5.2,0.44,0,0,Unfurnished,2021-12-29,2021,5850914,12528,Bhairahawa Road,"Well-connected property in Itahari-11, 467 sqft, 10 years old. Ideal for families."
H00052,Itahari-17,Bungalow,921,1,1,10,2.5,1.26,0,1,Semi-Furnished,2019-04-13,2019,11725441,12731,Shohini Chowk,"Spacious Bungalow with 1 bedrooms and 1 bathrooms, nearby Shohini Chowk."
H00053,Itahari-16,Flat,2233,5,4,9,7.8,3.98,0,0,Semi-Furnished,2023-05-06,2023,24481597,10963,Bhairahawa Road,"Spacious Flat with 5 bedrooms and 4 bathrooms, nearby Bhairahawa Road."
H00054,Itahari-18,Villa,2133,6,6,5,9.0,3.24,0,1,Unfurnished,2015-11-14,2015,35861473,16812,Sukrabare,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00055,Itahari-4,Duplex,1235,4,4,3,4.2,1.0,0,1,Semi-Furnished,2019-11-04,2019,20537953,16629,Bhairahawa Road,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00056,Itahari-5,Flat,1024,2,2,22,5.5,3.44,1,1,Unfurnished,2017-01-17,2017,8201640,8009,Itahari Buspark,Flat located near main road with easy access to amenities and schools.
H00057,Itahari-9,Bungalow,627,3,2,12,7.2,4.6,0,1,Semi-Furnished,2014-06-11,2014,6555569,10455,Sukrabare,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00058,Itahari-2,RCC,798,1,1,16,15.7,2.51,0,1,Furnished,2020-05-04,2020,18687501,23417,G.P. Chowk,"Spacious RCC with 1 bedrooms and 1 bathrooms, nearby G.P. Chowk."
H00059,Itahari-11,Flat,2205,7,7,4,4.9,4.61,1,0,Unfurnished,2014-11-21,2014,11615122,5267,Sukrabare,"Spacious Flat with 7 bedrooms and 7 bathrooms, nearby Sukrabare."
H00060,Itahari-11,Flat,1189,2,2,13,3.8,2.09,0,1,Unfurnished,2019-10-10,2019,9754462,8203,G.P. Chowk,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00061,Itahari-19,Flat,1798,3,2,20,10.3,6.07,1,1,Semi-Furnished,2024-07-25,2024,22314321,12410,Sukrabare,"Well-connected property in Itahari-19, 1798 sqft, 20 years old. Ideal for families."
H00062,Itahari-9,Duplex,1891,5,4,13,6.6,4.73,0,1,Semi-Furnished,2019-01-08,2019,28873053,15268,G.P. Chowk,Duplex located near main road with easy access to amenities and schools.
H00063,Itahari-10,RCC,636,1,1,23,4.5,6.06,0,0,Unfurnished,2019-10-28,2019,7580818,11919,G.P. Chowk,"Spacious RCC with 1 bedrooms and 1 bathrooms, nearby G.P. Chowk."
H00064,Itahari-16,Flat,1269,4,3,19,4.4,3.59,1,1,Unfurnished,2023-11-02,2023,14641698,11537,Bhairahawa Road,Flat located near main road with easy access to amenities and schools.
H00065,Itahari-10,Bungalow,1572,3,2,4,2.8,1.89,0,1,Unfurnished,2011-03-08,2011,15983170,10167,Bhairahawa Road,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00066,Itahari-5,RCC,1301,4,3,5,11.2,2.17,0,1,Unfurnished,2024-11-12,2024,24370229,18731,G.P. Chowk,RCC located near main road with easy access to amenities and schools.
H00067,Itahari-2,Flat,1681,4,3,16,9.7,2.36,0,0,Semi-Furnished,2021-02-21,2021,40832239,24290,Itahari Buspark,"Spacious Flat with 4 bedrooms and 3 bathrooms, nearby Itahari Buspark."
H00068,Itahari-4,Flat,1032,2,2,8,12.3,3.1,0,1,Unfurnished,2021-04-26,2021,18473284,17900,G.P. Chowk,"Well-connected property in Itahari-4, 1032 sqft, 8 years old. Ideal for families."
H00069,Itahari-6,Duplex,1426,5,4,20,5.7,1.24,0,1,Furnished,2016-07-11,2016,13730489,9628,Sukrabare,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00070,Itahari-9,Flat,1591,5,3,6,15.5,3.31,0,1,Unfurnished,2014-04-24,2014,20623410,12962,Shohini Chowk,"Spacious Flat with 5 bedrooms and 3 bathrooms, nearby Shohini Chowk."
H00071,Itahari-12,Bungalow,1891,4,2,0,2.9,1.74,0,1,Unfurnished,2016-11-19,2016,46352953,24512,G.P. Chowk,Bungalow located near main road with easy access to amenities and schools.
H00072,Itahari-15,Duplex,1132,4,4,13,3.4,5.45,0,0,Unfurnished,2016-06-11,2016,8816021,7788,Bhairahawa Road,"Spacious Duplex with 4 bedrooms and 4 bathrooms, nearby Bhairahawa Road."
H00073,Itahari-12,Bungalow,2339,6,5,11,14.9,1.05,1,0,Furnished,2019-02-25,2019,77903983,33306,Bhairahawa Road,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00074,Itahari-2,RCC,1109,4,2,9,10.3,3.3,0,1,Unfurnished,2025-01-28,2025,28043937,25287,G.P. Chowk,"Spacious RCC with 4 bedrooms and 2 bathrooms, nearby G.P. Chowk."
H00075,Itahari-3,Bungalow,649,3,3,23,9.8,2.54,0,0,Unfurnished,2019-12-13,2019,12764346,19667,Bhairahawa Road,"Spacious Bungalow with 3 bedrooms and 3 bathrooms, nearby Bhairahawa Road."
H00076,Itahari-3,Bungalow,2383,5,4,24,12.2,1.51,0,1,Unfurnished,2024-03-11,2024,59575135,25000,G.P. Chowk,"Well-connected property in Itahari-3, 2383 sqft, 24 years old. Ideal for families."
H00077,Itahari-18,Flat,450,1,1,18,3.5,5.19,0,0,Unfurnished,2011-08-15,2011,2668300,5929,Itahari Buspark,"Well-connected property in Itahari-18, 450 sqft, 18 years old. Ideal for families."
H00078,Itahari-8,Bungalow,1525,3,2,4,2.8,5.65,0,1,Unfurnished,2015-12-10,2015,23029574,15101,Bhairahawa Road,"Spacious Bungalow with 3 bedrooms and 2 bathrooms, nearby Bhairahawa Road."
H00079,Itahari-8,RCC,2487,6,6,14,6.5,2.43,0,1,Unfurnished,2019-04-09,2019,50606621,20348,Itahari Buspark,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00080,Itahari-10,Flat,1790,3,2,24,4.5,2.44,1,1,Unfurnished,2020-01-14,2020,22673555,12666,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00081,Itahari-10,Flat,1153,4,2,0,9.5,3.28,0,1,Unfurnished,2022-08-17,2022,28095150,24366,Bhairahawa Road,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00082,Itahari-18,Villa,463,1,1,28,5.2,2.35,0,1,Unfurnished,2011-06-14,2011,5180044,11188,Sukrabare,"Well-connected property in Itahari-18, 463 sqft, 28 years old. Ideal for families."
H00083,Itahari-8,Flat,2396,6,4,22,4.2,2.92,0,1,Furnished,2014-07-05,2014,35078284,14640,Bhairahawa Road,"Well-connected property in Itahari-8, 2396 sqft, 22 years old. Ideal for families."
H00084,Itahari-7,Bungalow,1625,4,3,11,7.0,3.31,0,1,Unfurnished,2019-06-29,2019,16014033,9854,G.P. Chowk,"Spacious Bungalow with 4 bedrooms and 3 bathrooms, nearby G.P. Chowk."
H00085,Itahari-10,RCC,1302,4,4,2,2.6,0.89,0,1,Unfurnished,2016-01-22,2016,23740386,18233,Bhairahawa Road,RCC located near main road with easy access to amenities and schools.
H00086,Itahari-15,Flat,1090,3,2,12,12.4,3.6,0,0,Unfurnished,2020-06-25,2020,13121418,12037,Bhairahawa Road,"Spacious Flat with 3 bedrooms and 2 bathrooms, nearby Bhairahawa Road."
H00087,Itahari-18,Duplex,1950,6,6,14,4.2,0.68,0,0,Unfurnished,2015-05-24,2015,23052615,11821,G.P. Chowk,"Spacious Duplex with 6 bedrooms and 6 bathrooms, nearby G.P. Chowk."
H00088,Itahari-1,RCC,1125,4,3,7,3.9,3.45,0,1,Furnished,2020-10-27,2020,17744026,15772,Sukrabare,RCC located near main road with easy access to amenities and schools.
H00089,Itahari-16,Villa,1904,5,5,26,4.0,4.16,1,1,Unfurnished,2011-05-04,2011,11998016,6301,Bhairahawa Road,"Well-connected property in Itahari-16, 1904 sqft, 26 years old. Ideal for families."
H00090,Itahari-19,Villa,1833,6,4,17,3.1,1.44,0,1,Unfurnished,2023-02-28,2023,37586563,20505,Shohini Chowk,"Spacious Villa with 6 bedrooms and 4 bathrooms, nearby Shohini Chowk."
H00091,Itahari-1,Bungalow,624,2,2,7,5.2,1.4,1,1,Unfurnished,2017-11-03,2017,7893964,12650,Bhairahawa Road,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00092,Itahari-15,Flat,2375,7,6,14,7.4,4.06,0,1,Unfurnished,2023-05-17,2023,23744915,9997,Shohini Chowk,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00093,Itahari-16,Flat,1713,5,5,13,15.8,5.05,0,1,Unfurnished,2019-09-01,2019,16800530,9807,Itahari Buspark,"Well-connected property in Itahari-16, 1713 sqft, 13 years old. Ideal for families."
H00094,Itahari-10,Duplex,906,2,1,10,9.5,3.64,0,1,Unfurnished,2013-05-28,2013,10865061,11992,G.P. Chowk,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00095,Itahari-10,Duplex,654,1,1,6,4.3,4.42,0,1,Semi-Furnished,2018-04-29,2018,9921905,15171,Itahari Buspark,Duplex located near main road with easy access to amenities and schools.
H00096,Itahari-12,Villa,1289,2,2,10,5.5,7.92,0,1,Unfurnished,2023-09-26,2023,35416423,27475,Shohini Chowk,Villa located near main road with easy access to amenities and schools.
H00097,Itahari-9,RCC,1582,4,4,7,8.6,5.24,0,1,Unfurnished,2024-12-25,2024,26905593,17007,Bhairahawa Road,"Spacious RCC with 4 bedrooms and 4 bathrooms, nearby Bhairahawa Road."
H00098,Itahari-17,Villa,1087,2,2,13,8.8,5.24,0,1,Unfurnished,2024-05-16,2024,23142760,21290,Bhairahawa Road,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00099,Itahari-12,Bungalow,1466,5,3,15,8.5,3.66,0,1,Unfurnished,2015-04-16,2015,25373702,17308,Shohini Chowk,Bungalow located near main road with easy access to amenities and schools.
H00100,Itahari-19,Bungalow,2128,4,4,13,8.4,2.13,1,1,Unfurnished,2014-03-04,2014,22005041,10340,G.P. Chowk,"Spacious Bungalow with 4 bedrooms and 4 bathrooms, nearby G.P. Chowk."
H00101,Itahari-2,Duplex,298,1,1,16,15.2,8.49,1,1,Furnished,2010-09-01,2010,3338760,11203,Sukrabare,"Well-connected property in Itahari-2, 298 sqft, 16 years old. Ideal for families."
H00102,Itahari-10,Villa,1741,4,2,16,7.4,3.74,0,1,Unfurnished,2010-04-05,2010,23727882,13628,Shohini Chowk,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00103,Itahari-3,Duplex,1706,4,4,19,7.0,4.56,1,1,Unfurnished,2012-04-25,2012,18954170,11110,Shohini Chowk,Duplex located near main road with easy access to amenities and schools.
H00104,Itahari-2,RCC,1272,3,2,23,4.1,2.83,1,1,Unfurnished,2024-12-01,2024,29837414,23457,Bhairahawa Road,"Spacious RCC with 3 bedrooms and 2 bathrooms, nearby Bhairahawa Road."
H00105,Itahari-4,RCC,960,1,1,6,4.7,5.37,0,1,Unfurnished,2015-08-07,2015,8801054,9167,Shohini Chowk,"Spacious RCC with 1 bedrooms and 1 bathrooms, nearby Shohini Chowk."
H00106,Itahari-5,Bungalow,1054,3,2,8,6.7,4.28,0,1,Unfurnished,2010-08-30,2010,6249441,5929,Shohini Chowk,"Spacious Bungalow with 3 bedrooms and 2 bathrooms, nearby Shohini Chowk."
H00107,Itahari-4,Flat,1890,4,4,1,8.8,4.61,0,1,Semi-Furnished,2019-07-26,2019,30165315,15960,Itahari Buspark,"Spacious Flat with 4 bedrooms and 4 bathrooms, nearby Itahari Buspark."
H00108,Itahari-17,RCC,1281,3,2,8,11.1,2.29,0,1,Semi-Furnished,2010-03-20,2010,10937373,8538,Shohini Chowk,RCC located near main road with easy access to amenities and schools.
H00109,Itahari-5,RCC,2608,6,6,13,12.4,5.96,1,0,Unfurnished,2010-05-28,2010,14558034,5582,Bhairahawa Road,RCC located near main road with easy access to amenities and schools.
H00110,Itahari-20,RCC,772,3,2,16,7.6,3.88,0,1,Unfurnished,2019-01-05,2019,8224638,10653,Itahari Buspark,"Spacious RCC with 3 bedrooms and 2 bathrooms, nearby Itahari Buspark."
H00111,Itahari-2,RCC,1273,2,1,11,8.7,5.36,1,1,Unfurnished,2020-11-27,2020,28328863,22253,Sukrabare,"Well-connected property in Itahari-2, 1273 sqft, 11 years old. Ideal for families."
H00112,Itahari-15,Bungalow,903,3,2,13,15.3,3.8,0,0,Unfurnished,2011-11-17,2011,6737968,7461,Itahari Buspark,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00113,Itahari-9,Flat,655,2,2,16,9.4,3.97,0,1,Semi-Furnished,2013-09-30,2013,6336014,9673,Bhairahawa Road,Flat located near main road with easy access to amenities and schools.
H00114,Itahari-18,Bungalow,2143,4,3,12,7.1,8.7,0,1,Semi-Furnished,2013-07-28,2013,17752157,8283,G.P. Chowk,"Well-connected property in Itahari-18, 2143 sqft, 12 years old. Ideal for families."
H00115,Itahari-16,Villa,1723,5,5,14,14.4,5.66,0,1,Semi-Furnished,2018-08-04,2018,21846380,12679,Bhairahawa Road,"Modern Villa with parking and garden, excellent investment for Itahari locals."
H00116,Itahari-10,RCC,530,2,2,3,9.1,3.2,0,1,Semi-Furnished,2015-04-14,2015,8685310,16387,Shohini Chowk,"Well-connected property in Itahari-10, 530 sqft, 3 years old. Ideal for families."
H00117,Itahari-8,Bungalow,1150,2,2,2,10.1,2.91,0,1,Unfurnished,2018-01-26,2018,25037058,21771,G.P. Chowk,Bungalow located near main road with easy access to amenities and schools.
H00118,Itahari-19,Flat,2070,5,3,6,4.6,5.1,0,1,Unfurnished,2013-03-15,2013,15786339,7626,Bhairahawa Road,Flat located near main road with easy access to amenities and schools.
H00119,Itahari-15,Duplex,1514,3,2,16,5.3,3.47,0,1,Semi-Furnished,2022-11-11,2022,17012963,11237,Shohini Chowk,"Well-connected property in Itahari-15, 1514 sqft, 16 years old. Ideal for families."
H00120,Itahari-18,Bungalow,1831,5,3,25,7.1,3.84,1,1,Unfurnished,2022-10-21,2022,29613539,16173,Itahari Buspark,"Spacious Bungalow with 5 bedrooms and 3 bathrooms, nearby Itahari Buspark."
H00121,Itahari-10,Duplex,1946,5,4,23,7.6,3.18,0,1,Unfurnished,2021-09-23,2021,35634083,18311,Itahari Buspark,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00122,Itahari-12,Bungalow,1932,5,5,6,8.6,3.02,0,0,Furnished,2025-09-17,2025,62013799,32098,Itahari Buspark,Bungalow located near main road with easy access to amenities and schools.
H00123,Itahari-7,Bungalow,1872,6,6,4,10.4,3.69,0,1,Unfurnished,2024-11-15,2024,26657868,14240,Shohini Chowk,Bungalow located near main road with easy access to amenities and schools.
H00124,Itahari-5,Flat,1680,3,2,11,11.6,3.17,0,1,Furnished,2011-07-27,2011,11768514,7005,Itahari Buspark,Flat located near main road with easy access to amenities and schools.
H00125,Itahari-17,Flat,1350,2,1,5,7.2,1.73,0,0,Furnished,2022-05-28,2022,24512936,18157,Bhairahawa Road,Flat located near main road with easy access to amenities and schools.
H00126,Itahari-10,Duplex,1392,4,2,23,6.8,4.05,1,0,Unfurnished,2014-10-16,2014,14387291,10335,Shohini Chowk,"Spacious Duplex with 4 bedrooms and 2 bathrooms, nearby Shohini Chowk."
H00127,Itahari-8,Duplex,1363,2,1,6,5.7,5.92,0,1,Unfurnished,2022-01-20,2022,27342655,20060,Bhairahawa Road,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00128,Itahari-9,Flat,2113,6,5,16,8.6,5.63,0,0,Semi-Furnished,2018-01-03,2018,24852685,11761,Itahari Buspark,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00129,Itahari-1,Bungalow,2214,7,4,5,5.6,5.78,1,1,Unfurnished,2011-11-01,2011,17433926,7874,G.P. Chowk,Bungalow located near main road with easy access to amenities and schools.
H00130,Itahari-5,Flat,2476,6,4,13,7.2,3.03,0,1,Furnished,2025-04-01,2025,35949545,14519,Shohini Chowk,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00131,Itahari-2,Villa,1442,3,3,20,10.1,2.58,0,1,Semi-Furnished,2022-02-20,2022,51985652,36051,Itahari Buspark,"Spacious Villa with 3 bedrooms and 3 bathrooms, nearby Itahari Buspark."
H00132,Itahari-12,Flat,1423,3,3,13,4.6,1.26,0,0,Furnished,2021-07-21,2021,29489282,20723,G.P. Chowk,"Spacious Flat with 3 bedrooms and 3 bathrooms, nearby G.P. Chowk."
H00133,Itahari-15,Flat,2017,5,5,1,3.4,4.83,0,1,Furnished,2016-09-20,2016,14507985,7192,Bhairahawa Road,"Spacious Flat with 5 bedrooms and 5 bathrooms, nearby Bhairahawa Road."
H00134,Itahari-8,Bungalow,2185,6,6,8,2.9,4.34,1,1,Furnished,2013-12-20,2013,35457379,16227,Shohini Chowk,Bungalow located near main road with easy access to amenities and schools.
H00135,Itahari-14,RCC,1933,6,5,7,6.2,2.21,0,0,Unfurnished,2016-06-25,2016,16222733,8392,Sukrabare,"Spacious RCC with 6 bedrooms and 5 bathrooms, nearby Sukrabare."
